cgmDatenum_ 1,cgmDatenum_ 2,cgmDatenum_ 3,cgmDatenum_ 4,cgmDatenum_ 5,cgmDatenum_ 6,cgmDatenum_ 7,cgmDatenum_ 8,cgmDatenum_ 9,cgmDatenum_10,cgmDatenum_11,cgmDatenum_12,cgmDatenum_13,cgmDatenum_14,cgmDatenum_15,cgmDatenum_16,cgmDatenum_17,cgmDatenum_18,cgmDatenum_19,cgmDatenum_20,cgmDatenum_21,cgmDatenum_22,cgmDatenum_23,cgmDatenum_24,cgmDatenum_25,cgmDatenum_26,cgmDatenum_27,cgmDatenum_28,cgmDatenum_29,cgmDatenum_30,cgmDatenum_31
737077.641585648,737077.6381134259,737077.634641204,737077.631168981,737077.6276967591,737077.624224537,737077.620752315,737077.617280093,737077.61380787,737077.610335648,737077.6068634259,737077.6033680559,737077.599895833,737077.5964236109,737077.592951389,737077.589479167,737077.5860069441,737077.582534722,737077.5790625,737077.575590278,737077.5721180559,737077.568645833,737077.5651736109,737077.561701389,737077.558229167,737077.5547569441,737077.551284722,737077.5478125,737077.544340278,737077.5408680559,737077.5373958341
737074.6569212959,737074.653449074,737074.649976852,737074.64650463,737074.643032407,737074.639560185,737074.636087963,737074.632615741,737074.6291435191,737074.6256712959,737074.622199074,737074.618726852,737074.61525463,737074.611782407,737074.608310185,737074.604837963,737074.601365741,737074.5978935191,737074.5944212959,737074.590949074,737074.587476852,737074.58400463,737074.5805208329,737074.5770486109,737074.5735763891,737074.570104167,737074.566631945,737074.563159722,737074.5596875,737074.556215278,737074.552743056
737073.6568518521,737073.65337963,737073.649907407,737073.646435185,737073.642962963,737073.639490741,737073.636018518,737073.632546296,737073.6290740741,737073.6256018521,737073.62212963,737073.618657407,737073.615185185,737073.611712963,737073.608240741,737073.604768518,737073.601296296,737073.5978240741,737073.5943518521,737073.59087963,737073.587407407,737073.583935185,737073.580462963,737073.576990741,737073.573518518,737073.570023148,737073.566550926,737073.563078704,737073.559606481,737073.5561342591,737073.5526620371
737061.604699074,737061.601226852,737061.59775463,737061.5942824071,737061.590810185,737061.5873379629,737061.5838657409,737061.580393519,737061.576921296,737061.573449074,737061.569976852,737061.56650463,737061.5630324071,737061.559560185,737061.5560879629,737061.5526157409,737061.549143519,737061.545671296,737061.542199074,737061.538726852,737061.53525463,737061.5317824071,737061.528310185,737061.5248379629,737061.5213657409,737061.517893519,737061.514421296,737061.510949074,737061.507476852,737061.50400463,737061.500532408
737057.66693287,737057.6634606479,737057.6599884259,737057.656516204,737057.653043982,737057.649571759,737057.646099537,737057.642627315,737057.639155093,737057.63568287,737057.6322106479,737057.6287384259,737057.625266204,737057.621793982,737057.618321759,737057.614849537,737057.611377315,737057.607905093,737057.60443287,737057.6009606479,737057.5974884259,737057.594016204,737057.590543982,737057.587071759,737057.583599537,737057.580127315,737057.576655093,737057.57318287,737057.5697106479,737057.5662384259,737057.562766204
737055.6779513891,737055.674479167,737055.671006945,737055.667534722,737055.6640625,737055.660590278,737055.657118056,737055.653645833,737055.6501736109,737055.6467013891,737055.643229167,737055.639756945,737055.636284722,737055.6328125,737055.629340278,737055.625868056,737055.622395833,737055.6189236109,737055.6154513891,737055.611979167,737055.608506945,737055.605034722,737055.6015625,737055.598090278,737055.594618056,737055.591145833,737055.5876736109,737055.5842013891,737055.580729167,737055.577256945,737055.573784723
737053.643101852,737053.63962963,737053.6361574071,737053.632685185,737053.6292129629,737053.6257407409,737053.622268519,737053.6187731479,737053.6153009259,737053.611828704,737053.608356482,737053.604884259,737053.601412037,737053.597939815,737053.594467593,737053.59099537,737053.5875231479,737053.5840509259,737053.580578704,737053.577106482,737053.573634259,737053.570162037,737053.566689815,737053.563217593,737053.55974537,737053.5562731479,737053.5528009259,737053.549328704,737053.545856482,737053.542384259,737053.538912037
737048.65556713,737048.652094907,737048.648622685,737048.645150463,737048.641678241,737048.638206018,737048.6347337959,737048.6312615741,737048.6277893521,737048.62431713,737048.620844907,737048.617372685,737048.613900463,737048.610428241,737048.606956018,737048.603472222,737048.6,737048.596527778,737048.593055556,737048.589583333,737048.586111111,737048.5826388891,737048.5791666671,737048.575694444,737048.572222222,737048.56875,737048.565277778,737048.561805556,737048.558333333,737048.554861111,737048.5513888891
737046.63806713,737046.634594907,737046.631122685,737046.627650463,737046.6241782409,737046.6207060191,737046.6172337959,737046.613761574,737046.610289352,737046.60681713,737046.603344907,737046.599872685,737046.596400463,737046.5929282409,737046.5894560191,737046.585972222,737046.5825,737046.579027778,737046.575555556,737046.5720833329,737046.5686111109,737046.565138889,737046.561666667,737046.558194444,737046.554722222,737046.55125,737046.547777778,737046.544305556,737046.5408333329,737046.5373611109,737046.533888889
737032.526377315,737032.5229050929,737032.51943287,737032.515960648,737032.512488426,737032.509016204,737032.505543981,737032.5020717591,737032.4985995371,737032.495127315,737032.4916550929,737032.48818287,737032.484710648,737032.481238426,737032.477766204,737032.474293981,737032.4708217591,737032.4673495371,737032.463877315,737032.4604050929,737032.45693287,737032.453460648,737032.449988426,737032.446516204,737032.443043981,737032.4395717591,737032.4360995371,737032.432627315,737032.4291550929,737032.42568287,737032.422210648
